KEY,en,notes,sp,fr,de,it,pt-br,zh
FURNITURE_NAME_SET_CUTE_SIDETABLE,可爱边桌 A,,Mesilla cuqui A,Table d'appoint mimi A,Süßer Beistelltisch A,Tavolino carino A,Mesa lateral fofinha A,可愛邊桌 A
FURNITURE_DESC_SET_CUTE_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_CUTE_SHELF,可爱书架,,Estante cuqui,Étagère mimi,Süßes Regal,Scaffale carino,Estante fofinha,可愛書架
FURNITURE_DESC_SET_CUTE_SHELF,,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER2,可爱衣柜,,Cómoda cuqui,Armoire mimi,Süßes Vertiko,Armadio carino,Guarda-roupa fofinho,可愛衣櫃
FURNITURE_DESC_SET_CUTE_DRESSER2,,,,,,,,
FURNITURE_NAME_SET_CUTE_COUCH,可爱沙发,,Sofá cuqui,Canapé mimi,Süßes Sofa,Divano carino,Sofá fofinho,可愛沙發
FURNITURE_DESC_SET_CUTE_COUCH,,,,,,,,
FURNITURE_NAME_SET_CUTE_BED,可爱床,,Cama cuqui,Lit mimi,Süßes Bett,Letto carino,Cama fofinha,可愛牀
FURNITURE_DESC_SET_CUTE_BED,,,,,,,,
FURNITURE_NAME_SET_CUTE_CHAIR,可爱椅子,,Silla cuqui,Chaise mimi,Süßer Stuhl,Sedia carina,Cadeira fofinha,可愛椅子
FURNITURE_DESC_SET_CUTE_CHAIR,,,,,,,,
FURNITURE_NAME_SET_CUTE_STOOL,可爱凳子,,Taburete cuqui,Tabouret mimi,Süßer Hocker,Sgabello carino,Banqueta fofinha,可愛凳子
FURNITURE_DESC_SET_CUTE_STOOL,,,,,,,,
FURNITURE_NAME_SET_CUTE_TABLE2,可爱咖啡桌,,Mesa de centro cuqui,Table d'appoint mimi,Süßer Kaffeetisch,Tavolino da caffè carino,Mesa de centro fofinha,可愛咖啡桌
FURNITURE_DESC_SET_CUTE_TABLE2,,,,,,,,
FURNITURE_NAME_SET_CUTE_SIDETABLE2,可爱边桌 B,,Mesilla cuqui B,Table d'appoint mimi B,Süßer Beistelltisch B,Tavolino carino B,Mesa lateral fofinha B,可愛邊桌 B
FURNITURE_DESC_SET_CUTE_SIDETABLE2,,,,,,,,
FURNITURE_NAME_OBJECT_WOOD_TABLE,木桌,,Mesa de madera,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira,木桌
FURNITURE_DESC_OBJECT_WOOD_TABLE,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LION,石狮子雕像,,Estatua de león guardián,Statue de lion gardien,Löwenwächterstatue,Statua del Leone Guardiano,Estátua do leão guardião,石獅子雕像
FURNITURE_DESC_OBJECT_STATUE_LION,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_JESUS,基督救世主雕像,,Estatua del Cristo Redentor,Statue du Christ Rédempteur,Jesusstatue,Statua del Cristo Redentore,Estátua do Cristo Redentor,基督救世主雕像
FURNITURE_DESC_OBJECT_STATUE_JESUS,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_DEVIL,巴风特雕像,,Estatua de Bafomet,Statue de Baphomet,Statue von Baphomet,Statua di Bafometto,Estátua de Baphomet,巴風特雕像
FURNITURE_DESC_OBJECT_STATUE_DEVIL,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_MERMAID,小美人鱼雕像,,Estatua de la Sirenita,Statue de la Petite Sirène,Statue der kleinen Meerjungfrau,Statua della Sirenetta,Estátua da pequena sereia,小美人魚雕像
FURNITURE_DESC_OBJECT_STATUE_MERMAID,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LOTUS,湿婆神像,,Estatua de Shiva,Statue Adiyogi Shiva,Shivastatue,Statua di Shiva,Estátua de Shiva,溼婆神像
FURNITURE_DESC_OBJECT_STATUE_LOTUS,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_BUDDAH,笑佛雕像,,Estatua de Buda sonriente,Statue de Bouddha rieur,Statue des lachenden Buddha,Statua del Buddha Sorridente,Estátua do Buda risonho,笑佛雕像
FURNITURE_DESC_OBJECT_STATUE_BUDDAH,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LUCKYCAT,招财猫雕像,,Estatua de gato de la suerte,Statue de Maneki Neko,Maneki Neko,Statua di Maneki Neko,Estátua de Maneki Neko,招財貓雕像
FURNITURE_DESC_OBJECT_STATUE_LUCKYCAT,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_BAST,巴斯特雕像,,Estatua de Bastet,Statue de Bastet,Bastetstatue,Statua di Bastet,Estátua de Bastet,巴斯特雕像
FURNITURE_DESC_OBJECT_STATUE_BAST,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_DARUMA,达摩雕像,,Estatua de Daruma,Statue de Daruma,Darumastatue,Statua di Daruma,Estátua de Daruma,達摩雕像
FURNITURE_DESC_OBJECT_STATUE_DARUMA,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_EASTERISLANDSMALL,小复活节岛头像,,Cabeza pequeña de la isla de Pascua,Petite tête de l'île de Pâques,Kleine Moai-Statue,Testa piccola dell'Isola di Pasqua,Cabeça pequena da Ilha de Páscoa,小復活節島頭像
FURNITURE_DESC_OBJECT_STATUE_EASTERISLANDSMALL,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_EASTERISLANDMEDIUM,中等复活节岛头像,,Cabeza mediana de la isla de Pascua,Tête de l'île de Pâques,Mittelgroße Moai-Statue,Testa media dell'Isola di Pasqua,Cabeça média da Ilha de Páscoa,中等復活節島頭像
FURNITURE_DESC_OBJECT_STATUE_EASTERISLANDMEDIUM,,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_EASTERISLANDLARGE,大复活节岛头像,,Cabeza grande de la isla de Pascua,Grande tête de l'île de Pâques,Große Moai-Statue,Testa grande dell'Isola di Pasqua,Cabeça grande da Ilha de Páscoa,大復活節島頭像
FURNITURE_DESC_OBJECT_STATUE_EASTERISLANDLARGE,,,,,,,,
FURNITURE_NAME_OBJECT_VASE_LARGE,大空花瓶,,Jarrón grande vacío,Grande vase vide,Große leere Vase,Grosso vaso vuoto,Vaso grande vazio,大空花瓶
FURNITURE_DESC_OBJECT_VASE_LARGE,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_TENTACLE,盆栽触手,,Tiesto con tentáculo,Tentacule en pot,Eingetopftes Tentakel,Tentacolo in vaso,Tentáculo no vaso,盆栽觸手
FURNITURE_DESC_OBJECT_PLANT_TENTACLE,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_MONSTERA,盆栽龟背竹,,Tiesto con monstera,Monstera en pot,Eingetopfte Monstera,Monstera in vaso,Costela de Adão no vaso,盆栽龜背竹
FURNITURE_DESC_OBJECT_PLANT_MONSTERA,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_SPIKEY,盆栽龙血树,,Tiesto con dracaena,Dracaena en pot,Eingetopfte Dracaena,Dracena in vaso,Dracaena no vaso,盆栽龍血樹
FURNITURE_DESC_OBJECT_PLANT_SPIKEY,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_BUSH,盆栽黄杨木,,Tiesto con boj,Buis en pot,Eingetopfter Buchsbaum,Bosso in vaso,Buxo no vaso,盆栽黃楊木
FURNITURE_DESC_OBJECT_PLANT_BUSH,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_POTATO,盆栽土豆,,Tiesto con patatas,Patate en pot,Eingetopfte Kartoffel,Patata in vaso,Batata no vaso,盆栽土豆
FURNITURE_DESC_OBJECT_PLANT_POTATO,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_FLOWERS,雏菊花瓶,,Florero con margaritas,Vase de marguerites,Vase mit Gänseblümchen,Vaso di margherite,Vaso de margaridas,雛菊花瓶
FURNITURE_DESC_OBJECT_PLANT_FLOWERS,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_ORCHID,盆栽兰花,,Tiesto con orquídeas,Orchidée en pot,Eingetopfte Orchidee,Orchidea in vaso,Orquídea no vaso,盆栽蘭花
FURNITURE_DESC_OBJECT_PLANT_ORCHID,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_DAISY,盆栽雏菊,,Tiesto con margaritas,Marguerite en pot,Eingetopftes Gänseblümchen,Margherita in vaso,Margarida no vaso,盆栽雛菊
FURNITURE_DESC_OBJECT_PLANT_DAISY,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_RAFFLESIA,盆栽大王花,,Tiesto con rafflesia,Rafflesia en pot,Eingetopfte Raflesien,Rafflesia in vaso,Rafflesia no vaso,盆栽大王花
FURNITURE_DESC_OBJECT_PLANT_RAFFLESIA,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_PIRANHASPLANT,盆栽食人花,,Tiesto con planta piraña,Plante Piranha en pot,Eingetopfte Piranha-Pflanze,Pianta piranha in vaso,Planta carnívora no vaso,盆栽食人花
FURNITURE_DESC_OBJECT_PLANT_PIRANHASPLANT,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_CACTUS,盆栽仙人掌,,Tiesto con cactilio,Pampa en pot,Eingetopfter Kaktuar,Cactuar in vaso,Cactuar no vaso,盆栽仙人掌
FURNITURE_DESC_OBJECT_PLANT_CACTUS,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_BLOWFISH,河豚水族馆,,Pecera con pez globo,Aquarium de poisson-globe,Aquarium (Kugelfisch),Acquario di pesci palla,Aquário de baiacus,河豚水族館
FURNITURE_DESC_OBJECT_FISHTANK_BLOWFISH,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_CATFISH,鲶鱼水族馆,,Pecera con pez gato,Aquarium de poisson-chat,Aquarium (Wels),Acquario di pesci gatto,Aquário de bagres,鯰魚水族館
FURNITURE_DESC_OBJECT_FISHTANK_CATFISH,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_BOOZE,酒水水族馆,,Pecera con bebercio,Aquarium de beuverie,Aquarium (Flasche),Acquario di pesci alcool,Aquário de bebida,酒水水族館
FURNITURE_DESC_OBJECT_FISHTANK_BOOZE,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_TADPOLES,蝌蚪水族馆,,Pecera con renacuajo,Aquarium de têtard,Aquarium (Kaulquappe),Acquario di girini,Aquário de girinos,蝌蚪水族館
FURNITURE_DESC_OBJECT_FISHTANK_TADPOLES,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_MERMAID,斐济美人鱼水族馆,,Pecera con la sirena de Fiyi,Aquarium de sirène des Fidji,Aquarium (Fidschi-Meerjungfrau),Acquario di sirene delle Fiji,Aquário de sereias de Fiji,斐濟美人魚水族館
FURNITURE_DESC_OBJECT_FISHTANK_MERMAID,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_WHALE,小鲸鱼水族馆,,Pecera con cría de ballena,Aquarium de baleineau,Aquarium (Babywal),Acquario di baby balene,Aquário de baleias bebês,小鯨魚水族館
FURNITURE_DESC_OBJECT_FISHTANK_WHALE,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_TADPOLES,小蝌蚪水族馆,,Pecera con renacuajo pequeño,Petit aquarium de têtard,Aquarium (Kleine Kaulquappe),Acquario piccolo di girini,Aquário pequeno de girinos,小蝌蚪水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_TADPOLES,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_POOP,小便便水族馆,,Pecera con caca pequeña,Petit aquarium de caca,Aquarium (Kleines Häufchen),Acquario piccolo di cacche,Aquário pequeno de cocôs,小便便水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_POOP,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_SKULL,小骷髅水族馆,,Pecera con cráneo pequeño,Petit aquarium de crâne,Aquarium (Kleiner Schädel),Acquario piccolo di teschi,Aquário pequeno de crânios,小骷髏水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_SKULL,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_FISH,小金鱼水族馆,,Pecera con pez dorado pequeño,Petit aquarium de poisson rouge,Aquarium (Kleiner Goldfisch),Acquario piccolo di pesci rossi,Aquário pequeno de peixinhos dourados,小金魚水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_FISH,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_LILFISH,小鲦鱼水族馆,,Pecera con foxino pequeño,Petit aquarium de vairon,Aquarium (Kleine Elritze),Acquario piccolo di esche,Aquário pequeno de tanictis,小鰷魚水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_LILFISH,,,,,,,,
FURNITURE_NAME_OBJECT_FISHTANK_SMALL_LILFISHES,小鲦鱼家族水族馆,,Pecera con familia de foxinos,Petit aquarium famille de vairons,Aquarium (Kleine Elritzenfamilie),Acquario piccolo di famiglie di esche,Aquário pequeno de família de tanictis,小鰷魚家族水族館
FURNITURE_DESC_OBJECT_FISHTANK_SMALL_LILFISHES,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_30S,30年代收音机,,Radio de los años 30 ,Radio des années&nbsp;30,30er-Radio ,Radio anni '30,Rádio dos anos 30,30年代收音機
FURNITURE_DESC_OBJECT_RADIO_30S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_40S,40年代收音机,,Radio de los años 40,Radio des années&nbsp;40,40er-Radio,Radio anni '40,Rádio dos anos 40,40年代收音機
FURNITURE_DESC_OBJECT_RADIO_40S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_50S,50年代收音机,,Radio de los años 50,Radio des années&nbsp;50,50er-Radio,Radio anni '50,Rádio dos anos 50,50年代收音機
FURNITURE_DESC_OBJECT_RADIO_50S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_80S,80年代收音机,,Radio ochentera,Radio des années&nbsp;80,80er-Radio,Radio anni '80,Rádio dos anos 80,80年代收音機
FURNITURE_DESC_OBJECT_RADIO_80S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_ATOMIC,原子收音机,,Radio atómica,Radio atomique,Radioaktives Radio,Radio atomica,Rádio atômico,原子收音機
FURNITURE_DESC_OBJECT_RADIO_ATOMIC,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_70S,70年代收音机,,Radio setentera,Radio des années&nbsp;70,70er-Radio,Radio anni '70,Rádio dos anos 70,70年代收音機
FURNITURE_DESC_OBJECT_RADIO_70S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_90S,90年代收音机,,Radio noventera,Radio des années&nbsp;90,90er-Radio,Radio anni '90,Rádio dos anos 90,90年代收音機
FURNITURE_DESC_OBJECT_RADIO_90S,,,,,,,,
FURNITURE_NAME_OBJECT_RADIO_60S,60年代收音机,,Radio sesentera,Radio des années&nbsp;60,60er-Radio,Radio anni '60,Rádio dos anos 60,60年代收音機
FURNITURE_DESC_OBJECT_RADIO_60S,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_PIG,人体标本小猪,,Cerdo disecado,Cochon empaillé,Ausgestopftes Schwein,Maiale impagliato,Porco empalhado,人體標本小豬
FURNITURE_DESC_OBJECT_TAXIDERMY_PIG,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_BAT,人体标本蝙蝠,,Murciélago disecado,Chauve-souris empaillée,Ausgestopfte Fledermaus,Pipistrello impagliato,Morcego empalhado,人體標本蝙蝠
FURNITURE_DESC_OBJECT_TAXIDERMY_BAT,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_FISH,人体标本鳕鱼,,Bacalao disecado,Cabillaud empaillé,Ausgestopfter Kabeljau,Merluzzo impagliato,Bacalhau empalhado,人體標本鱈魚
FURNITURE_DESC_OBJECT_TAXIDERMY_FISH,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_BIRD,人体标本鸽子,,Palomo disecado,Pigeon empaillé,Ausgestopfte Taube,Piccione impagliato,Pombo empalhado,人體標本鴿子
FURNITURE_DESC_OBJECT_TAXIDERMY_BIRD,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_TURTLE,人体标本乌龟,,Tortuga disecada,Tortue empaillée,Ausgestopfte Schildkröte,Tartaruga impagliata,Tartaruga empalhada,人體標本烏龜
FURNITURE_DESC_OBJECT_TAXIDERMY_TURTLE,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_LIZARD,人体标本鬣蜥,,Iguana disecada,Iguane empaillé,Ausgestopfter Iguana,Iguana impagliata,Iguana empalhada,人體標本鬣蜥
FURNITURE_DESC_OBJECT_TAXIDERMY_LIZARD,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_SNAKE,人体标本蛇,,Serpiente disecada,Serpent empaillé,Ausgestopfte Schlange,Serpente impagliato,Cobra empalhada,人體標本蛇
FURNITURE_DESC_OBJECT_TAXIDERMY_SNAKE,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_SQUIRREL,人体标本松鼠,,Ardilla disecada,Écureuil empaillé,Ausgestopftes Eichhörnchen,Scoiattolo impagliato,Esquilo empalhado,人體標本松鼠
FURNITURE_DESC_OBJECT_TAXIDERMY_SQUIRREL,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_MOUSE,人体标本老鼠,,Ratón disecado,Souris empaillée,Ausgestopfte Maus,Topo impagliato,Camundongo empalhado,人體標本老鼠
FURNITURE_DESC_OBJECT_TAXIDERMY_MOUSE,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_GOPHER,人体标本旱獭,,Taltuza disecada,Gauphre empaillé,Ausgestopftes Erdhörnchen,Geomide impagliato,Geômis empalhado,人體標本旱獺
FURNITURE_DESC_OBJECT_TAXIDERMY_GOPHER,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_CROW,人体标本乌鸦,,Cuervo disecado,Corbeau empaillé,Ausgestopfte Krähe,Corvo impagliato,Corvo empalhado,人體標本烏鴉
FURNITURE_DESC_OBJECT_TAXIDERMY_CROW,,,,,,,,
FURNITURE_NAME_OBJECT_TAXIDERMY_RAT,人体标本大鼠,,Rata disecada,Rat empaillé,Ausgestopfte Ratte,Ratto impagliato,Rato empalhado,人體標本大鼠
FURNITURE_DESC_OBJECT_TAXIDERMY_RAT,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_MONITOR,电脑显示器,,Monitor de PC,Écran d'ordinateur,PC-Monitor,Monitor del PC,Monitor,電腦顯示器
FURNITURE_DESC_OBJECT_ELECTRONICS_MONITOR,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_PC,个人电脑,,PC,PC,PC,PC,PC,個人電腦
FURNITURE_DESC_OBJECT_ELECTRONICS_PC,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_PRINTER,打印机,,Impresora,Imprimante,Drucker,Stampante,Impressora,打印機
FURNITURE_DESC_OBJECT_ELECTRONICS_PRINTER,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_LAPTOP,笔记本电脑,,Portátil,PC portable,Laptop,Computer portatile,Laptop,筆記本電腦
FURNITURE_DESC_OBJECT_ELECTRONICS_LAPTOP,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_VHS,录像机,,Reproductor VHS,Lecteur de cassettes,Videorekorder,Lettore VHS,Videocassete,錄像機
FURNITURE_DESC_OBJECT_ELECTRONICS_VHS,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_DVDPLAYER,DVD播放器,,Reproductor DVD,Lecteur de DVD,DVD-Player,Lettore DVD,DVD Player,DVD播放器
FURNITURE_DESC_OBJECT_ELECTRONICS_DVDPLAYER,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_SPEAKER,扬声器,,Altavoz,Enceinte,Lautsprecher,Altoparlante,Alto-falante,揚聲器
FURNITURE_DESC_OBJECT_ELECTRONICS_SPEAKER,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS1,图书A,,Libros A,Livres&nbsp;A,Bücher A,Libri A,Livros A,圖書A
FURNITURE_DESC_OBJECT_BOOKS1,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS2,书籍 B,,Libros B,Livres&nbsp;B,Bücher B,Libri B,Livros B,書籍 B
FURNITURE_DESC_OBJECT_BOOKS2,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS3,书籍 C,,Libros C,Livres&nbsp;C,Bücher C,Libri C,Livros C,書籍 C
FURNITURE_DESC_OBJECT_BOOKS3,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS4,书籍 D,,Libros D,Livres&nbsp;D,Bücher D,Libri D,Livros D,書籍 D
FURNITURE_DESC_OBJECT_BOOKS4,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS5,书籍 E,,Libros E,Livres&nbsp;E,Bücher E,Libri E,Livros E,書籍 E
FURNITURE_DESC_OBJECT_BOOKS5,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS6,书籍 F,,Libros F,Livres&nbsp;F,Bücher F,Libri F,Livros F,書籍 F
FURNITURE_DESC_OBJECT_BOOKS6,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS7,书籍 G,,Libros G,Livres&nbsp;G,Bücher G,Libri G,Livros G,書籍 G
FURNITURE_DESC_OBJECT_BOOKS7,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS8,书籍 H,,Libros H,Livres&nbsp;H,Bücher H,Libri H,Livros H,書籍 H
FURNITURE_DESC_OBJECT_BOOKS8,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS9,书籍 I,,Libros I,Livres&nbsp;I,Bücher I,Libri I,Livros I,書籍 I
FURNITURE_DESC_OBJECT_BOOKS9,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS10,书,,Libro,Livre,Buch,Libro,Livro,書
FURNITURE_DESC_OBJECT_BOOKS10,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS11,书籍 J,,Libros J,Livres&nbsp;J,Bücher J,Libri J,Livros J,書籍 J
FURNITURE_DESC_OBJECT_BOOKS11,,,,,,,,
FURNITURE_NAME_OBJECT_BOOKS12,书籍 K,,Libros K,Livres&nbsp;K,Bücher K,Libri K,Livros K,書籍 K
FURNITURE_DESC_OBJECT_BOOKS12,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_CUTECACTUS,盆栽仙人掌,,Tiesto con cactus,Cactus en pot,Eingetopfter Kaktus,Cactus in vaso,Cacto no vaso,盆栽仙人掌
FURNITURE_DESC_OBJECT_PLANT_CUTECACTUS,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_SUNFLOWER,盆栽向日葵,,Tiesto con girasol,Tournesol en pot,Eingetopfte Sonnenblume,Girasole in vaso,Girassol no vaso,盆栽向日葵
FURNITURE_DESC_OBJECT_PLANT_SUNFLOWER,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_MUSHROOM,盆栽蘑菇,,Tiesto con seta,Champignon en pot,Eingetopfter Pilz,Fungo in vaso,Cogumelo no vaso,盆栽蘑菇
FURNITURE_DESC_OBJECT_PLANT_MUSHROOM,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_MUSHROOMS,盆栽蘑菇,,Tiesto con setas,Champignons en pot,Eingetopfte Pilze,Funghi in vaso,Cogumelos no vaso,盆栽蘑菇
FURNITURE_DESC_OBJECT_PLANT_MUSHROOMS,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_BULB1,盆栽绿灯泡,,Tiesto con bulbo verde,Bulbe vert en pot,Eingetopfte grüne Knolle,Bulbo verde in vaso,Bulbo verde no vaso,盆栽綠燈泡
FURNITURE_DESC_OBJECT_PLANT_BULB1,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_BULB2,盆栽蓝灯泡,,Tiesto con bulbo azul,Bulbe bleu en pot,Eingetopfte blaue Knolle,Bulbo blu in vaso,Bulbo azul no vaso,盆栽藍燈泡
FURNITURE_DESC_OBJECT_PLANT_BULB2,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_BULB3,盆栽黄灯泡,,Tiesto con bulbo amarillo,Bulbe jaune en pot,Eingetopfte gelbe Knolle,Bulbo giallo in vaso,Bulbo amarelo no vaso,盆栽黃燈泡
FURNITURE_DESC_OBJECT_PLANT_BULB3,,,,,,,,
FURNITURE_NAME_OBJECT_PLANT_FLYTRAP,捕蝇草,,Atrapamoscas,Dionée attrape-mouche,Venusfliegenfalle,Venere acchiappamosche,Dionaea muscipula,捕蠅草
FURNITURE_DESC_OBJECT_PLANT_FLYTRAP,,,,,,,,
FURNITURE_NAME_OBJECT_VASE_DASIY,花瓶,,Florero,Vase de fleurs,Blumenvase,Vaso di Fiori,Vaso de flores,花瓶
FURNITURE_DESC_OBJECT_VASE_DASIY,,,,,,,,
FURNITURE_NAME_OBJECT_VASE_STICKS,树枝花瓶,,Jarrón con ramitas,Vase de branches,Vase mit Zweigen,Vaso con rami,Vaso com galho,樹枝花瓶
FURNITURE_DESC_OBJECT_VASE_STICKS,,,,,,,,
FURNITURE_NAME_OBJECT_TELEPHONE_10S,古董电话,,Teléfono antiguo ,Téléphone antique,Antikes Telefon ,Telefono antico,Telefone antigo,古董電話
FURNITURE_DESC_OBJECT_TELEPHONE_10S,,,,,,,,
FURNITURE_NAME_OBJECT_COFFEN,棺材,,Ataúd,Cercueil,Sarg,Bara,Caixão,棺材
FURNITURE_DESC_OBJECT_COFFEN,,,,,,,,
FURNITURE_NAME_OBJECT_BARREL,桶,,Barril,Tonneau,Fass,Barile,Barril,桶
FURNITURE_DESC_OBJECT_BARREL,,,,,,,,
FURNITURE_NAME_OBJECT_TOXICWASTE,有毒废料,,Residuo tóxico,Déchets toxiques,Giftmüll,Rifiuti tossici,Lixo tóxico,有毒廢料
FURNITURE_DESC_OBJECT_TOXICWASTE,,,,,,,,
FURNITURE_NAME_OBJECT_CRATE,箱子,,Caja,Caisse,Kiste,Cassa,Caixa,箱子
FURNITURE_DESC_OBJECT_CRATE,,,,,,,,
FURNITURE_NAME_OBJECT_CHEST,箱子,,Cofre,Coffre,Truhe,Baule,Baú,箱子
FURNITURE_DESC_OBJECT_CHEST,,,,,,,,
FURNITURE_NAME_OBJECT_BOX,纸板箱,,Caja de cartón,Carton,Pappbox,Scatola di cartone,Caixa de papelão,紙板箱
FURNITURE_DESC_OBJECT_BOX,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_MICROWAVE,微波炉 A,,Microondas A,Micro-ondes&nbsp;A,Mikrowelle A,Microonde A,Micro-ondas A,微波爐 A
FURNITURE_DESC_OBJECT_ELECTRONICS_MICROWAVE,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_MICROWAVE2,微波炉 B,,Microondas B,Micro-ondes&nbsp;B,Mikrowelle B,Microonde B,Micro-ondas B,微波爐 B
FURNITURE_DESC_OBJECT_ELECTRONICS_MICROWAVE2,,,,,,,,
FURNITURE_NAME_OBJECT_ELECTRONICS_MICROWAVE3,微波炉 C,,Microondas C,Micro-ondes&nbsp;C,Mikrowelle C,Microonde C,Micro-ondas C,微波爐 C
FURNITURE_DESC_OBJECT_ELECTRONICS_MICROWAVE3,,,,,,,,
FURNITURE_NAME_OBJECT_CINDERBLOCK1,混凝土块,,Bloque de hormigón,Parpaing,Betonblock,Blocco di cemento,Bloco de concreto,混凝土塊
FURNITURE_DESC_OBJECT_CINDERBLOCK1,,,,,,,,
FURNITURE_NAME_OBJECT_CINDERBLOCK2,小混凝土块,,Bloque de hormigón pequeño,Petit parpaing,Kleiner Betonblock,Blocco di cemento piccolo,Bloco de concreto pequeno,小混凝土塊
FURNITURE_DESC_OBJECT_CINDERBLOCK2,,,,,,,,
